Curve Name,Curve Length (um),Average Curvature (um-1),Curvature Std (um-1),X-Coordinate (um),Y-Coordinate (um),Point Curvature (um-1),Point Curvature Sign,Red Intensity,Green Intensity,Blue Intensity
CURVE 2,4.128135917,0.46112706,0.415391709,71.12142969,46.33576406,0.05921811,-1,311,205,"205.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.1414054,46.32294256,0.061022962,-1,311,205,"205.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.16126986,46.31023294,0.062875125,-1,283,192,"192.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.18102358,46.29763526,0.064775904,-1,262,190,"190.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.20066709,46.28514964,0.066726637,-1,262,190,"190.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.22020091,46.27277615,0.068728705,-1,262,190,"190.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.23962557,46.26051487,0.070783524,-1,262,190,"190.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.25894159,46.24836591,0.072892553,-1,262,190,"190.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.27814949,46.23632933,0.075057291,-1,233,195,"195.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.29724981,46.22440524,0.077279282,-1,233,195,"195.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.31624305,46.21259372,0.079560112,-1,233,195,"195.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.33512976,46.20089486,0.081901411,-1,233,195,"195.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.35391044,46.18930873,0.084304856,-1,233,195,"195.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.37258563,46.17783544,0.086772172,-1,269,169,"169.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.39115585,46.16647507,0.08930513,-1,244,167,"167.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.40962162,46.1552277,0.091905552,-1,244,167,"167.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.42798346,46.14409343,0.09457531,-1,244,167,"167.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.44624191,46.13307234,0.097316328,-1,244,167,"167.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.46439748,46.12216451,0.100130582,-1,244,167,"167.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.4824507,46.11137004,0.103020104,-1,244,167,"167.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.5004021,46.10068901,0.105986978,-1,238,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.51825219,46.09012151,0.109033346,-1,238,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.5360015,46.07966763,0.112161409,-1,238,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.55365055,46.06932745,0.115373423,-1,238,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.57119988,46.05910107,0.118671707,-1,213,158,"158.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.58864999,46.04898856,0.122058639,-1,213,158,"158.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.60600143,46.03899002,0.125536657,-1,213,158,"158.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.6232547,46.02910553,0.129108265,-1,277,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.64041034,46.01933519,0.132776029,-1,277,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.65746887,46.00967907,0.136542578,-1,277,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.6744308,46.00013727,0.140410607,-1,277,181,"181.0"
CURVE 2,4.128135917,0.46112706,0.415391709,71.69129668,45.99070987,0.144382878,-1,277,181,"181.0"
